伝説,でんせつ,"legend, folklore, tradition"
解説,かいせつ,"explanation, commentary, exposition, elucidation"
速度,そくど,"speed, velocity, pace, rate; velocity"
上達,じょうたつ,"improvement (e.g. in skill, ability), advance, progress; communication of opinions of the general populace to those of high rank"
渋滞,じゅうたい,"(traffic) congestion, traffic jam, gridlock; delay, stagnation"
